Question number or item identifier,Source location in file if available,Question text,Answer choices,Marked correct answer,Auditor verdict,Is the marked correct answer actually correct?,"If not, what is the actually correct answer?",Is the actually correct answer present among the choices?,Statistical issue category,Formula dependency assessment,Short rationale explaining the issue,"Easy fix to answer choices, if any","Easy fix to question wording, if any",Recommended final status
Item 197,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[196].stims[0],A psychologist tests the effectiveness of a new anxiety treatment on 100 patients and finds that 70% show significant improvement. What is the empirical probability that the next patient will show improvement?,Choice pool (runtime order randomized): 0.7 || 0.9 || 0.3 || 0.5,0.7,Correct,Yes,0.7,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 198,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[197].stims[0],A weather forecast indicates a 90% chance of rain tomorrow. Which of the following is true?,Choice pool (runtime order randomized): There is a high likelihood it will rain tomorrow. || The weather forecast cannot be trusted. || It will definitely rain tomorrow. || There is a small chance it will rain tomorrow.,There is a high likelihood it will rain tomorrow.,Correct,Yes,There is a high likelihood it will rain tomorrow.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 199,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[198].stims[0],Which method uses a series of trials that produce outcomes that cannot be predicted exactly in advance?,Choice pool (runtime order randomized): Empirical (Observational) || Theoretical (Classical) || Neither || Both,Empirical (Observational),Correct,Yes,Empirical (Observational),Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 200,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[199].stims[0],A psychologist is studying the stress levels of college students during finals week. The stress levels are normally distributed with a mean of 50 and a standard deviation of 10. What percentage of students have stress levels between 40 and 60?,Choice pool (runtime order randomized): 68% || 99.7% || 34% || 95%,68%,Correct,Yes,68%,Yes,None,Okay via empirical rule,Keyed correctly and answerable with normal-curve intuition / the empirical rule.,,,Keep as is
Item 201,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[200].stims[0],"In a normal distribution, which of the following is true about the mean, median, and mode?",Choice pool (runtime order randomized): They are all equal. || The mode is where the data peaks. || The mean is always larger than the median and mode. || The median is the highest point on the normal curve.,They are all equal.,Correct,Yes,They are all equal.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 202,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[201].stims[0],"A study on test anxiety reveals that the scores are normally distributed. If a student’s z-score on this test is 2, how is their test anxiety score interpreted relative to the mean?",Choice pool (runtime order randomized): Above average || Cannot be determined from the given information || Below average || Average,Above average,Correct,Yes,Above average,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 203,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[202].stims[0],A clinical psychologist finds that the distribution of mood scores in a sample of patients is skewed right. This indicates that:,Choice pool (runtime order randomized): The mean is greater than the median. || The mean is equal to the mode. || The mean is less than the median. || The mean is equal to the median.,The mean is greater than the median.,Correct,Yes,The mean is greater than the median.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 204,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[203].stims[0],"When comparing two different normal distributions, Distribution A has a mean of 100 and a standard deviation of 15, while Distribution B has a mean of 100 and a standard deviation of 5. Which distribution would show a greater spread of scores?",Choice pool (runtime order randomized): Distribution A || Cannot be determined from the given information || Both distributions have the same spread || Distribution B,Distribution A,Correct,Yes,Distribution A,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 205,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[204].stims[0],"A therapist is examining the relationship between hours of sleep and anxiety levels. The data is normally distributed. If the therapist wants to find the probability that a randomly selected person sleeps more than 8 hours, which of the following tools should they use to look up the probability?",Choice pool (runtime order randomized): Standard normal table || Mode calculation || Standard deviation rule || Z-score conversion,Standard normal table,Correct,Yes,Standard normal table,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 206,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[205].stims[0],"In a normal distribution, what proportion of the data falls within ±1.96 standard deviations from the mean (remember the empirical rule is approximate)?",Choice pool (runtime order randomized): Approximately 95% || Approximately 50% || Approximately 99.7% || Approximately 68%,Approximately 95%,Correct,Yes,Approximately 95%,Yes,None,Okay via empirical rule,Keyed correctly and answerable with normal-curve intuition / the empirical rule.,,,Keep as is
Item 207,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[206].stims[0],"A group of students took a psychological resilience test, which is normally distributed with a mean score of 85 and a standard deviation of 5. If one student scored a 95, what is their z-score?",Choice pool (runtime order randomized): 2 || 0.2 || 10 || 1,2,Correct,Yes,2,Yes,None,Okay via simple division/arithmetic,Keyed correctly; the required work is simple arithmetic rather than formula memorization.,,,Keep as is
Item 208,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[207].stims[0],"If the scores on a depression scale are normally distributed with a mean of 50 and a standard deviation of 10, what z-score corresponds to a score of 40?",Choice pool (runtime order randomized): -1 || 2 || 0.2 || 20,-1,Correct,Yes,-1,Yes,None,Okay via simple division/arithmetic,Keyed correctly; the required work is simple arithmetic rather than formula memorization.,,,Keep as is
